Reference, Value, Footprint, Datasheet, digikey, additional_parts, digikey_alt, specs
"U13","74_2G86","Housings_SSOP:VSSOP-8_3.0x3.0mm_Pitch0.65mm","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","296-13274-1-ND","","",""
"U20","74_193","Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm","http://www.ti.com/lit/gpn/sn74LS193","1727-7974-1-ND","","",""
"U14","74_2G04","TO_SOT_Packages_SMD:SOT-363_SC-70-6","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","296-13262-1-ND","","",""
"U21","74_193","Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm","http://www.ti.com/lit/gpn/sn74LS193","1727-7974-1-ND","","",""
"U22","74_193","Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm","http://www.ti.com/lit/gpn/sn74LS193","1727-7974-1-ND","","",""
"U23","74_193","Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm","http://www.ti.com/lit/gpn/sn74LS193","1727-7974-1-ND","","",""
"U25","74_573","Housings_SSOP:TSSOP-20_4.4x6.5mm_Pitch0.65mm","74xx/74hc573.pdf","296-3840-1-ND","","",""
"U24","74_573","Housings_SSOP:TSSOP-20_4.4x6.5mm_Pitch0.65mm","74xx/74hc573.pdf","296-3840-1-ND","","",""
"U41","74_3257","Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm","http://www.ti.com/lit/ds/symlink/sn74cbtlv3257.pdf","74FST3257DTR2GOSCT-ND","","",""
"U40","74_3257","Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm","http://www.ti.com/lit/ds/symlink/sn74cbtlv3257.pdf","74FST3257DTR2GOSCT-ND","","",""
"U1","74_1G79","TO_SOT_Packages_SMD:SOT-353_SC-70-5","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","1727-4215-1-ND","","",""
"U2","74_1G79","TO_SOT_Packages_SMD:SOT-353_SC-70-5","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","1727-4215-1-ND","","",""
"U3","74_1G79","TO_SOT_Packages_SMD:SOT-353_SC-70-5","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","1727-4215-1-ND","","",""
"U4","74_1G79","TO_SOT_Packages_SMD:SOT-353_SC-70-5","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","1727-4215-1-ND","","",""
"U5","74_574","Housings_SSOP:TSSOP-20_4.4x6.5mm_Pitch0.65mm","http://www.ti.com/lit/gpn/sn74LS574","296-12285-1-ND","","",""
"U10","74_112","Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm","http://www.ti.com/lit/gpn/sn74LS112"," 74VHC112MTCXCT-ND","","",""
"U6","74_21","Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm","http://www.ti.com/lit/gpn/sn74LS21","296-3800-1-ND","","",""
"U11","74_1G79","TO_SOT_Packages_SMD:SOT-353_SC-70-5","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","1727-4215-1-ND","","",""
